id,date,symbol,direction,entry_type,lots,opt_type,qty,spot_entry,spot_sl,spot_target,entry,sl,target,rr,ltp_at_entry,bid_at_entry,ask_at_entry,oi_at_entry,volume_at_entry,total_cost,status,pnl,entry_time,exit_time,exit_price,exit_value
1,2026-04-21 12:05:08,NIFTY26APR24550CE,BUY,Retest,22,CE,1430,24542.55,24538.4,24555.0,249.9,247.83,256.13,3,249.9,249.15,249.85,629655,3098160,357357.0,TARGET_HIT,11797.5,12:05:08,12:15:04,258.15,369154.5
1,2026-04-21 12:54:26,NIFTY26APR24550CE,BUY,Retest,2,CE,130,24546.1,24525.7,24607.3,248.0,237.8,278.6,3,248.0,247.85,248.0,808535,4288245,32240.0,CLOSED_EOD,1963.0,12:54:26,15:20:01,263.1,34203.0
1,2026-04-22 13:25:12,NIFTY26APR24400PE,SELL,Retest,2,PE,130,24390.75,24396.85,24372.45,238.5,235.45,247.65,3,238.5,237.85,238.35,7573345,96297370,31005.0,SL_HIT,-2554.5,13:25:12,13:30:10,218.85,28450.5
2,2026-04-22 14:20:11,NIFTY26APR24400PE,SELL,Retest,2,PE,130,24402.25,24406.25,24390.25,230.45,228.45,236.45,3,230.45,229.85,230.35,7569380,117265330,29958.5,SL_HIT,-1313.0,14:20:11,14:25:09,220.35,28645.5
3,2026-04-22 14:35:15,NIFTY26APR24400PE,SELL,Retest,3,PE,195,24409.5,24413.85,24396.45,220.3,218.13,226.82,3,220.3,220.0,220.25,7658170,121162470,42958.5,SL_HIT,-984.75,14:35:15,14:40:13,215.25,41973.75
1,2026-04-23 09:45:05,NIFTY26APR24250PE,SELL,Retest,3,PE,195,24239.9,24246.7,24219.5,221.8,218.4,232.0,3,221.8,221.75,222.25,1640340,6424080,43251.0,SL_HIT,-3363.75,09:45:05,09:50:13,204.55,39887.25
2,2026-04-23 10:05:17,NIFTY26APR24300PE,SELL,Retest,3,PE,195,24304.1,24308.8,24290.0,212.5,210.15,219.55,3,212.5,212.2,212.6,5136820,14506440,41437.5,TARGET_HIT,2301.0,10:05:17,10:10:15,224.3,43738.5
3,2026-04-23 10:10:15,NIFTY26APR24300PE,SELL,Retest,3,PE,195,24281.45,24289.6,24257.0,224.3,220.23,236.53,3,224.3,224.3,224.7,5360095,15984540,43738.5,TARGET_HIT,3412.5,10:10:15,10:35:04,241.8,47151.0
1,2026-04-24 13:05:09,NIFTY26APR23900PE,SELL,Retest,4,PE,260,23874.7,23879.75,23859.55,169.25,166.73,176.83,3,169.25,168.8,169.2,7667725,147943315,44005.0,TARGET_HIT,4472.0,13:05:09,13:35:06,186.45,48477.0
2,2026-04-24 13:35:06,NIFTY26APR23850PE,SELL,Retest,4,PE,260,23852.7,23857.35,23838.75,161.45,159.13,168.43,3,161.45,161.25,161.55,2849340,72802665,41977.0,TARGET_HIT,2041.0,13:35:06,13:45:12,169.3,44018.0
3,2026-04-24 14:00:06,NIFTY26APR23850PE,SELL,Retest,4,PE,260,23845.75,23850.25,23832.25,163.8,161.55,170.55,3,163.8,163.65,163.8,3298555,86403980,42588.0,SL_HIT,-1482.0,14:00:06,14:20:11,158.1,41106.0
1,2026-04-27 13:20:14,NIFTY26APR24100CE,BUY,Retest,6,CE,390,24103.85,24098.7,24119.3,102.4,99.83,110.13,3,102.4,102.3,102.4,13750555,345327125,39936.0,TARGET_HIT,4660.5,13:20:14,14:15:09,114.35,44596.5
2,2026-04-27 14:20:07,NIFTY26APR24100CE,BUY,Retest,6,CE,390,24120.15,24116.7,24130.5,107.5,105.77,112.67,3,107.5,109.0,109.35,13064155,414761815,41925.0,SL_HIT,-1755.0,14:20:07,14:25:15,103.0,40170.0
3,2026-04-27 14:35:10,NIFTY26APR24100CE,BUY,Retest,7,CE,455,24084.8,24079.9,24099.5,89.8,87.35,97.15,3,89.8,89.95,90.05,13308815,433326270,40859.0,TARGET_HIT,7871.5,14:35:10,14:45:05,107.1,48730.5
1,2026-04-28 09:45:12,NIFTY2650524150CE,BUY,Retest,2,CE,130,24136.2,24128.8,24158.4,231.95,228.25,243.05,3,231.95,231.1,231.8,343265,747305,30153.5,SL_HIT,-1462.5,09:45:12,09:50:10,220.7,28691.0
2,2026-04-28 10:00:05,NIFTY2650524150CE,BUY,Retest,2,CE,130,24157.35,24152.35,24172.35,239.6,237.1,247.1,3,239.6,238.55,239.15,464425,1277055,31148.0,SL_HIT,-1332.5,10:00:05,10:15:07,229.35,29815.5
3,2026-04-28 11:25:08,NIFTY2650524100PE,SELL,Retest,3,PE,195,24110.55,24114.25,24099.45,211.35,209.5,216.9,3,211.35,211.0,211.25,2066610,7012070,41213.25,TARGET_HIT,6425.25,11:25:08,11:30:05,244.3,47638.5
1,2026-04-29 09:45:09,NIFTY2650524150CE,BUY,Retest,3,CE,195,24143.9,24140.65,24153.65,196.2,194.58,201.08,3,196.2,196.15,196.55,2819570,17212065,38259.0,TARGET_HIT,1774.5,09:45:09,09:50:07,205.3,40033.5
1,2026-04-29 09:51:49,NIFTY2650524150CE,BUY,Retest,3,CE,195,24171.1,24156.4,24215.2,209.75,202.4,231.8,3,209.75,209.85,210.0,2481115,21553935,40901.25,TARGET_HIT,11700.0,09:51:49,10:15:07,269.75,52601.25
2,2026-04-29 10:15:07,NIFTY2650524250CE,BUY,Retest,3,CE,195,24237.5,24232.65,24252.05,211.0,208.58,218.27,3,211.0,210.5,210.95,1524185,17022525,41145.0,TARGET_HIT,5177.25,10:15:07,10:25:02,237.55,46322.25
